Name,Location,Experience,Skills,Stages,Objectives,Interests,Looking for
User0,"Hoboken, United States","['Enterprise', 'Healthcare', 'Marketplace']","['Business Development', 'Product Management', 'Software Engineering']","['In early stages of exploring a specific idea', 'Open to new ideas']","['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'B2B', 'Biotech', 'Blockchain/Crypto', 'Clean Technology', 'Climate', 'Healthcare', 'Marketplace', 'Real Estate', 'SaaS', 'Venture']","['Business Development', 'Data Science', 'Growth', 'Product Management', 'Recruiting', 'Software Engineering']"
User1,"Santa Clara, United States","['Academia', 'Analytics', 'Biotech', 'Blockchain/Crypto', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'FinTech', 'Future of Food', 'Insurance', 'Science']","['Communications', 'Data Science', 'Research']",['Open to new ideas'],"['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'Biotech', 'Blockchain/Crypto', 'Clean Technology', 'Ecommerce', 'FinTech', 'Future of Food', 'Future of Work', 'Marketplace', 'Mental Health/Wellness']",NaN
User2,"Rochester, United States","['AI/ML', 'Analytics', 'B2B', 'Climate', 'Community', 'Consumer', 'Direct to Consumer', 'SaaS']","['Business Development', 'Communications', 'Data Science']","['Open to new ideas', 'Raising funding']","['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'Analytics', 'B2B', 'Blockchain/Crypto', 'Clean Technology', 'Climate', 'Community', 'Education', 'Enterprise', 'Marketplace', 'SaaS']","['Analytics', 'C-Suite Executives', 'Data Science', 'Design', 'Growth', 'Hardware Engineering', 'Marketing']"
User3,"San Francisco, United States","['B2B', 'Ecommerce', 'FinTech', 'Government', 'Marketplace', 'SaaS']","['Business Development', 'Growth', 'Operations']","['Built a basic prototype/MVP', 'Open to new ideas']","['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'Clean Technology', 'Climate', 'Ecommerce', 'FinTech', 'Marketplace']","['C-Suite Executives', 'Data Science', 'Product Management']"
User4,"New York, United States","['Analytics', 'Coaching', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'People Ops', 'Talent']","['Analytics', 'Marketing', 'Operations']","['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['Analytics', 'Clean Technology', 'Climate', 'Community', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'Future of Work', 'Marketplace', 'No-Code', 'Social', 'Social Impact']",['Software Engineering']
User5,"Paris, France","['B2B', 'Enterprise', 'SaaS']",['Product Management'],"['In early stages of exploring a specific idea', 'Open to new ideas']","['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'Analytics', 'B2B', 'Climate', 'FinTech', 'Productivity', 'SaaS']","['Business Development', 'Marketing']"
User6,NaN,"['B2B', 'SaaS']","['Design', 'Product Management', 'Software Engineering']",['Open to new ideas'],['Looking for co-founder'],"['AI/ML', 'B2B', 'Blockchain/Crypto', 'Clean Technology', 'Climate', 'Coaching', 'Community', 'Mental Health/Wellness', 'Real Estate', 'SaaS', 'Social', 'Social Impact']","['Business Development', 'Communications', 'Growth', 'Marketing', 'Research']"
User7,"San Francisco, United States","['B2B', 'Ecommerce', 'Enterprise', 'SaaS']","['Operations', 'Product Management', 'Software Engineering']","['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['B2B', 'Blockchain/Crypto', 'Consumer', 'Ecommerce', 'Education', 'FinTech', 'Healthcare', 'Marketplace', 'SaaS', 'Social']","['Design', 'Growth', 'Product Management', 'Research']"
User8,"New York, United States","['Analytics', 'Clean Technology', 'Developer Tools', 'Enterprise', 'IOT', 'Insurance']","['Analytics', 'Product Management', 'Software Engineering']","['Built a basic prototype/MVP', 'In early stages of exploring a specific idea']",['Looking for co-founder'],"['AI/ML', 'B2B', 'Clean Technology', 'Enterprise', 'Future of Work', 'People Ops', 'Productivity', 'SaaS', 'Social']","['Business Development', 'Product Management', 'Software Engineering']"
User9,"San Francisco, United States","['Coaching', 'Consumer', 'Developer Tools', 'Ecommerce', 'Enterprise', 'Productivity', 'Real Estate', 'Social']",['Software Engineering'],['Open to new ideas'],"['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'Clean Technology', 'Climate', 'Consumer', 'Developer Tools', 'Future of Work', 'Mental Health/Wellness', 'Productivity', 'Real Estate', 'Robotics']","['Business Development', 'Product Management']"
User10,"San Francisco, United States","['Analytics', 'B2B', 'SaaS']","['Analytics', 'Growth', 'Operations']",['In early stages of exploring a specific idea'],['Looking for co-founder'],"['AI/ML', 'Analytics', 'B2B', 'Future of Work', 'People Ops', 'SaaS']","['C-Suite Executives', 'Product Management', 'Software Engineering']"
User11,"San Francisco, United States","['B2B', 'Ecommerce', 'FinTech', 'SaaS']","['Product Management', 'Recruiting', 'Research']","['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['B2B', 'Ecommerce', 'Enterprise', 'FinTech', 'SaaS']","['C-Suite Executives', 'Software Engineering']"
User12,"Berlin, Germany","['Ecommerce', 'Education', 'Future of Work', 'Marketplace']","['C-Suite Executives', 'Product Management']",['In early stages of exploring a specific idea'],"['Looking for co-founder', 'Looking for first employees']","['Community', 'Consumer', 'Education', 'Future of Work', 'Marketplace', 'Social']","['C-Suite Executives', 'Design', 'Product Management', 'Recruiting', 'Software Engineering']"
User13,"San Francisco, United States","['AI/ML', 'B2B', 'Biotech', 'Coaching', 'Community', 'Education', 'Hardware', 'Healthcare', 'Mental Health/Wellness', 'SaaS']","['Product Management', 'Sales', 'Software Engineering']","['Built a basic prototype/MVP', 'In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['Biotech', 'Blockchain/Crypto', 'Clean Technology', 'Coaching', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'FinTech', 'Healthcare', 'Insurance']","['Design', 'Software Engineering']"
User14,"Hoboken, United States","['Enterprise', 'Healthcare', 'Marketplace']","['Business Development', 'Product Management', 'Software Engineering']","['In early stages of exploring a specific idea', 'Open to new ideas']","['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'B2B', 'Biotech', 'Blockchain/Crypto', 'Clean Technology', 'Climate', 'Healthcare', 'Marketplace', 'Real Estate', 'SaaS', 'Venture']","['Business Development', 'Data Science', 'Growth', 'Product Management', 'Recruiting', 'Software Engineering']"
User15,"Santa Clara, United States","['Academia', 'Analytics', 'Biotech', 'Blockchain/Crypto', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'FinTech', 'Future of Food', 'Insurance', 'Science']","['Communications', 'Data Science', 'Research']",['Open to new ideas'],"['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'Biotech', 'Blockchain/Crypto', 'Clean Technology', 'Ecommerce', 'FinTech', 'Future of Food', 'Future of Work', 'Marketplace', 'Mental Health/Wellness']",NaN
User16,"Rochester, United States","['AI/ML', 'Analytics', 'B2B', 'Climate', 'Community', 'Consumer', 'Direct to Consumer', 'SaaS']","['Business Development', 'Communications', 'Data Science']","['Open to new ideas', 'Raising funding']","['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'Analytics', 'B2B', 'Blockchain/Crypto', 'Clean Technology', 'Climate', 'Community', 'Education', 'Enterprise', 'Marketplace', 'SaaS']","['Analytics', 'C-Suite Executives', 'Data Science', 'Design', 'Growth', 'Hardware Engineering', 'Marketing']"
User17,"San Francisco, United States","['B2B', 'Ecommerce', 'FinTech', 'Government', 'Marketplace', 'SaaS']","['Business Development', 'Growth', 'Operations']","['Built a basic prototype/MVP', 'Open to new ideas']","['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'Clean Technology', 'Climate', 'Ecommerce', 'FinTech', 'Marketplace']","['C-Suite Executives', 'Data Science', 'Product Management']"
User18,"New York, United States","['Analytics', 'Coaching', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'People Ops', 'Talent']","['Analytics', 'Marketing', 'Operations']","['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['Analytics', 'Clean Technology', 'Climate', 'Community', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'Future of Work', 'Marketplace', 'No-Code', 'Social', 'Social Impact']",['Software Engineering']
User19,"Paris, France","['B2B', 'Enterprise', 'SaaS']",['Product Management'],"['In early stages of exploring a specific idea', 'Open to new ideas']","['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'Analytics', 'B2B', 'Climate', 'FinTech', 'Productivity', 'SaaS']","['Business Development', 'Marketing']"
User20,NaN,"['B2B', 'SaaS']","['Design', 'Product Management', 'Software Engineering']",['Open to new ideas'],['Looking for co-founder'],"['AI/ML', 'B2B', 'Blockchain/Crypto', 'Clean Technology', 'Climate', 'Coaching', 'Community', 'Mental Health/Wellness', 'Real Estate', 'SaaS', 'Social', 'Social Impact']","['Business Development', 'Communications', 'Growth', 'Marketing', 'Research']"
User21,"San Francisco, United States","['B2B', 'Ecommerce', 'Enterprise', 'SaaS']","['Operations', 'Product Management', 'Software Engineering']","['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['B2B', 'Blockchain/Crypto', 'Consumer', 'Ecommerce', 'Education', 'FinTech', 'Healthcare', 'Marketplace', 'SaaS', 'Social']","['Design', 'Growth', 'Product Management', 'Research']"
User22,"New York, United States","['Analytics', 'Clean Technology', 'Developer Tools', 'Enterprise', 'IOT', 'Insurance']","['Analytics', 'Product Management', 'Software Engineering']","['Built a basic prototype/MVP', 'In early stages of exploring a specific idea']",['Looking for co-founder'],"['AI/ML', 'B2B', 'Clean Technology', 'Enterprise', 'Future of Work', 'People Ops', 'Productivity', 'SaaS', 'Social']","['Business Development', 'Product Management', 'Software Engineering']"
User23,"San Francisco, United States","['Coaching', 'Consumer', 'Developer Tools', 'Ecommerce', 'Enterprise', 'Productivity', 'Real Estate', 'Social']",['Software Engineering'],['Open to new ideas'],"['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'Clean Technology', 'Climate', 'Consumer', 'Developer Tools', 'Future of Work', 'Mental Health/Wellness', 'Productivity', 'Real Estate', 'Robotics']","['Business Development', 'Product Management']"
User24,"San Francisco, United States","['Analytics', 'B2B', 'SaaS']","['Analytics', 'Growth', 'Operations']",['In early stages of exploring a specific idea'],['Looking for co-founder'],"['AI/ML', 'Analytics', 'B2B', 'Future of Work', 'People Ops', 'SaaS']","['C-Suite Executives', 'Product Management', 'Software Engineering']"
User25,"San Francisco, United States","['B2B', 'Ecommerce', 'FinTech', 'SaaS']","['Product Management', 'Recruiting', 'Research']","['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['B2B', 'Ecommerce', 'Enterprise', 'FinTech', 'SaaS']","['C-Suite Executives', 'Software Engineering']"
User26,"Berlin, Germany","['Ecommerce', 'Education', 'Future of Work', 'Marketplace']","['C-Suite Executives', 'Product Management']",['In early stages of exploring a specific idea'],"['Looking for co-founder', 'Looking for first employees']","['Community', 'Consumer', 'Education', 'Future of Work', 'Marketplace', 'Social']","['C-Suite Executives', 'Design', 'Product Management', 'Recruiting', 'Software Engineering']"
User27,"San Francisco, United States","['AI/ML', 'B2B', 'Biotech', 'Coaching', 'Community', 'Education', 'Hardware', 'Healthcare', 'Mental Health/Wellness', 'SaaS']","['Product Management', 'Sales', 'Software Engineering']","['Built a basic prototype/MVP', 'In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['Biotech', 'Blockchain/Crypto', 'Clean Technology', 'Coaching', 'Consumer', 'Direct to Consumer', 'Ecommerce', 'FinTech', 'Healthcare', 'Insurance']","['Design', 'Software Engineering']"
User28,"London, United Kingdom",['FinTech'],"['Business Development', 'C-Suite Executives', 'Finance']","['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['Blockchain/Crypto', 'Climate', 'Consumer', 'FinTech', 'Gaming', 'Robotics', 'Social', 'VR/AR']","['Data Science', 'Finance', 'Hardware Engineering', 'Operations', 'Product Management', 'Software Engineering']"
User29,"San Francisco, United States","['B2B', 'Climate', 'Community', 'Consumer', 'Mental Health/Wellness', 'Productivity', 'SaaS']","['Business Development', 'Design', 'Product Management']","['In early stages of exploring a specific idea', 'Open to new ideas']","['Looking for co-founder', 'Looking to join another team']","['B2B', 'Future of Work', 'Mental Health/Wellness', 'Productivity', 'SaaS']","['Design', 'Sales', 'Software Engineering']"
User30,"Miami, United States","['Future of Food', 'Marketplace']","['Operations', 'Product Management']","['Built a basic prototype/MVP', 'In early stages of exploring a specific idea']","['Looking for co-founder', 'Looking for first employees']","['Academia', 'Consumer', 'Ecommerce', 'Future of Food', 'Future of Work', 'Government', 'Marketplace', 'People Ops', 'Talent']","['C-Suite Executives', 'Customer Service', 'Design', 'Growth', 'Software Engineering']"
User31,"St. Augustine Beach, United States","['Community', 'Future of Work', 'Marketplace']","['Growth', 'Recruiting', 'Sales']",['Starting to onboard customers'],"['Looking for co-founder', 'Looking for first employees']","['Community', 'Consumer', 'Education', 'Future of Work', 'Marketplace', 'Social', 'Transportation & Travel']","['Design', 'Sales', 'Software Engineering']"
User32,"Santa Cruz, United States","['B2B', 'Developer Tools', 'IOT', 'Productivity', 'Robotics', 'SaaS', 'Social']","['Product Management', 'Software Engineering']","['Built a basic prototype/MVP', 'In early stages of exploring a specific idea']",['Looking for co-founder'],"['B2B', 'Blockchain/Crypto', 'Developer Tools', 'Education', 'Future of Work', 'No-Code', 'Robotics', 'SaaS']",NaN
User33,"San Francisco, United States","['Coaching', 'Education', 'Future of Work', 'People Ops', 'Talent']","['Communications', 'Operations', 'Recruiting']","['Built a basic prototype/MVP', 'Open to new ideas', 'Starting to onboard customers']",['Looking for co-founder'],"['AI/ML', 'Analytics', 'B2B', 'Coaching', 'Education', 'Future of Work', 'No-Code', 'People Ops', 'Productivity', 'SaaS', 'Talent']","['Analytics', 'Business Development', 'Customer Service', 'Growth', 'Marketing']"
User34,"New York, United States","['AI/ML', 'Developer Tools', 'Healthcare', 'No-Code', 'Productivity']","['Data Science', 'Software Engineering']",['Open to new ideas'],"['Looking for co-founder', 'Looking to join another team']","['AI/ML', 'Analytics', 'Developer Tools', 'FinTech', 'Future of Work', 'Healthcare', 'No-Code', 'Productivity', 'Transportation & Travel']",NaN
User35,"San Francisco, United States","['Consumer', 'Direct to Consumer', 'Future of Work', 'Hardware']","['Design', 'Marketing', 'Product Management']",['Built a basic prototype/MVP'],['Looking for co-founder'],"['B2B', 'Coaching', 'Enterprise', 'Future of Work', 'SaaS']",['Software Engineering']
User36,"San Francisco, United States","['Biotech', 'Consumer', 'Developer Tools', 'Science']","['Design', 'Product Management', 'Research']","['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['FinTech', 'Future of Work', 'Social']",['Software Engineering']
User37,Italy,"['Analytics', 'Future of Food', 'Marketplace', 'Talent']","['Analytics', 'C-Suite Executives', 'Growth']",['In early stages of exploring a specific idea'],['Looking for co-founder'],"['Analytics', 'B2B', 'Future of Work', 'No-Code', 'SaaS', 'Talent']","['Design', 'Product Management', 'Software Engineering']"
User38,"San Francisco, United States","['B2B', 'Enterprise', 'FinTech', 'SaaS']","['Product Management', 'Software Engineering']","['In early stages of exploring a specific idea', 'Open to new ideas']",['Looking for co-founder'],"['B2B', 'Blockchain/Crypto', 'FinTech', 'Mental Health/Wellness', 'Productivity', 'SaaS']","['Design', 'Marketing', 'Software Engineering']"
